year,make,model,price,mileage,Miles per gallon,cylinders,fuel,Drive type,Transmission,Color,owner,frame_damage,Odometer_problem,VIN,class,State Title Brand,Auction Brand / Issues,Accident / Damage,Open Recall Check,Insurance Loss / Transfer,Odometer Check,Certified Pre-Owned,Service / Repair,Miles per gallon equivalent (MPGe),Range (when new),Time to fully charge battery (240V)
2017,BMW,530 I xDrive,21998,63000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Brown,2 Owners,No flood or frame damage,No odometer problems,WBAJA7C30HG904334,Car - Midsize Luxury,Clean,No Issue,Damage Reported,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2017,BMW,X1 XDrive28i,23998,20000,22 city/31 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Brown,1 Owner,No flood or frame damage,No odometer problems,WBXHT3C30H5F77567,CUV - Compact Luxury,Clean,No Issue,Minor,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,228 I xDrive Gran Coupe,25998,32000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Cream,2 Owners,No flood or frame damage,No odometer problems,WBA73AK06M7G30059,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,OEM-Certified,No Issue,,,
2019,BMW,X3 XDrive30i,24998,60000,22 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,5UXTR9C50KLE21458,CUV - Midsize Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2018,BMW,X2 XDrive28i,23998,37000,21 city/31 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Tan,2 Owners,No flood or frame damage,No odometer problems,WBXYJ5C3XJEF73193,CUV - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,228 I xDrive Gran Coupe,23998,48000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,2 Owners,No flood or frame damage,No odometer problems,WBA73AK05M7G85635,Car - Compact Luxury,Clean,No Issue,Minor,No Open Recalls,No Issue,No Issue,OEM-Certified,No Issue,,,
2018,BMW,X3 XDrive30i,23998,69000,22 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Brown,1 Owner,No flood or frame damage,No odometer problems,5UXTR9C53JLC76561,CUV - Midsize Luxury,Clean,No Issue,Damage Reported,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,X3 XDrive30i,23998,65000,22 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,2 Owners,No flood or frame damage,No odometer problems,5UXTR9C52KLP87404,CUV - Midsize Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2015,BMW,X3 XDrive28i,19998,43000,21 city/28 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,1 Owner,No flood or frame damage,No odometer problems,5UXWX9C5XF0D53177,CUV - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2024,BMW,M2 ,63998,3000,16 city/23 hwy,6-cyl,Turbo Gas,Rear Wheel Drive,Manual 6 Speed,Blue/Brown,1 Owner,No flood or frame damage,No odometer problems,3MF13DM08R8E03916,Sport Car - Subcompact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,X5 xDrive40i,45998,19000,21 city/25 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Tan,1 Owner,No flood or frame damage,No odometer problems,5UXCR6C0XM9G32881,CUV - Midsize Luxury,Clean,No Issue,Damage Reported,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2018,BMW,X1 XDrive28i,21998,51000,22 city/31 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,2 Owners,No flood or frame damage,No odometer problems,WBXHT3C38J5L31000,CUV - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2023,BMW,X5 sDrive40i,39998,36000,21 city/26 hwy,6-cyl,Turbo Gas,Rear Wheel Drive,Automatic,White/Black,1 Owner,No flood or frame damage,No odometer problems,5UXCR4C03P9N95937,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2018,BMW,X2 XDrive28i,26998,9000,21 city/31 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,1 Owner,No flood or frame damage,No odometer problems,WBXYJ5C33JEF81393,CUV - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2024,BMW,M340 I xDrive,59998,5000,23 city/31 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Blue/Red,1 Owner,No flood or frame damage,No odometer problems,3MW49FF00R8D93774,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,X3 XDrive30i,31998,34000,23 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems,5UXTY5C05M9E39941,CUV - Midsize Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,228 I xDrive Gran Coupe,27998,40000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Red,2 Owners,No flood or frame damage,No odometer problems,WBA73AK07M7H02046,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,OEM-Certified,No Issue,,,
2022,BMW,M850 I xDrive Gran Coupe,57998,39000,17 city/24 hwy,8-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,1 Owner,No flood or frame damage,No odometer problems,WBAGV8C00NCJ20510,Sport Car - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,X3 XDrive30i,29998,26000,22 city/29 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Silver/Brown,2 Owners,No flood or frame damage,No odometer problems,5UXTR9C56KLP96834,CUV - Midsize Luxury,Clean,No Issue,Damage Reported,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2016,BMW,328 XI,21998,32000,22 city/34 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Black,1 Owner,No flood or frame damage,No odometer problems,WBA8E3G51GNU00506,Car - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2014,BMW,328 XI,16998,80000,22 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,WBA3B5G50ENS11566,Car - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2020,BMW,X3 Competition,48998,59000,14 city/19 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Red,4 Owners,No flood or frame damage,No odometer problems,5YMTS0C06L9B67413,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2023,BMW,X5 Plug In Hybrid XDrive45e,44998,43000,,6-cyl,Plug-in Hybrid,All Wheel Drive,,Black/Black,1 Owner,No flood or frame damage,No odometer problems,5UXTA6C00P9P19813,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,47 city/54 hwy,30 miles,5 hours
2015,BMW,428 I xDrive Gran Coupe,18998,63000,22 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Tan,3 Owners,No flood or frame damage,No odometer problems,WBA4C9C56FD331605,Car - Compact Luxury,Clean,No Issue,Minor,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2021,BMW,330 I xDrive,28998,40000,25 city/34 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Gray/Tan,1 Owner,No flood or frame damage,No odometer problems,3MW5R7J01M8C04088,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,330 I,26998,41000,26 city/36 hwy,4-cyl,Turbo Gas,Rear Wheel Drive,Automatic,Black/Black,1 Owner,No flood or frame damage,No odometer problems,WBA5R1C59KAK06601,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2022,BMW,X5 xDrive40i,40998,55000,21 city/25 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Tan,1 Owner,No flood or frame damage,No odometer problems,5UXCR6C02N9K78448,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,OEM-Certified,No Issue,,,
2023,BMW,230 XI,38998,3000,24 city/34 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Brown,1 Owner,No flood or frame damage,No odometer problems,3MW33CM07P8D45779,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2018,BMW,230 XI,23998,64000,23 city/33 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,Pearl/Black,1 Owner,No flood or frame damage,No odometer problems,WBA2K1C59JVD41658,Car - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2014,BMW,X3 XDrive28i,17998,62000,21 city/28 hwy,,,,Automatic,White/Tan,2 Owners,No flood or frame damage,No odometer problems,5UXWX9C53E0D42391,CUV - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No CPO Info Available,No Issue,,,
2019,BMW,X5 xDrive40i,35998,49000,20 city/26 hwy,6-cyl,Turbo Gas,All Wheel Drive,Automatic,Black/Brown,2 Owners,No flood or frame damage,No odometer problems,5UXCR6C57KLK82442,CUV - Midsize Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2015,BMW,328 XI,17998,88000,22 city/33 hwy,,,,Automatic,Black/Black,2 Owners,No flood or frame damage,No odometer problems,WBA3B5G50FNS13707,Car - Compact Luxury,Clean,No Issue,No Issue,1 Open Recall(s),No Issue,No Issue,No Recent CPO Reported,No Issue,,,
2017,BMW,X1 XDrive28i,18998,65000,22 city/31 hwy,,,,Automatic,Black/Black,3 Owners,No flood or frame damage,No odometer problems,WBXHT3C37H5F80627,CUV - Compact Luxury,Clean,No Issue,Damage Reported,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
2016,BMW,X1 XDrive28i,18998,58000,22 city/32 hwy,4-cyl,Turbo Gas,All Wheel Drive,Automatic,White/Black,2 Owners,No flood or frame damage,No odometer problems,WBXHT3C36G5E48408,CUV - Compact Luxury,Clean,No Issue,No Issue,No Open Recalls,No Issue,No Issue,No CPO Info Available,No Issue,,,
